row_id,category,dt,dx,dy,dz,dt_abs,r,s2,interval_class,dt_dir,axis,r_mult,mean_l_AA,mean_l_AB,mean_l_BA,mean_l_BB,mean_gap_A,mean_gap_B,mean_p_A_B,mean_p_B_A,frac_AB_lt_AA,frac_BA_lt_BB,frac_AB_lt_0,frac_BA_lt_0
62,mixed,64.0,0.0,64.0,0.0,64.0,64.0,0.0,null,future,y,1.0,-45.75153904838305,-45.558740365320965,-45.55972080351993,-45.751539048383066,0.1927986830620883,0.19181824486312227,0.5479502106112271,0.5477097474642219,0.0234375,0.0234375,1.0,1.0
63,mixed,64.0,0.0,0.0,64.0,64.0,64.0,0.0,null,future,z,1.0,-45.75153904838305,-45.559779967861154,-45.561866922398586,-45.751539048383066,0.19175908052189766,0.18967212598447503,0.5477009096329899,0.5471841964141068,0.0234375,0.0234375,1.0,1.0
64,mixed,64.0,128.0,0.0,0.0,64.0,128.0,-12288.0,spacelike,future,x,2.0,-45.75153904838305,-45.045928982890544,-45.04969200862304,-45.751539048383066,0.7056100654924642,0.7018470397600085,0.6681885152332588,0.667367565902411,0.0,0.0,1.0,1.0
65,mixed,64.0,0.0,128.0,0.0,64.0,128.0,-12288.0,spacelike,future,y,2.0,-45.75153904838305,-45.04794607881278,-45.0491904344818,-45.751539048383066,0.7035929695702872,0.7023486139012765,0.6678195704343903,0.667579117815449,0.0,0.0,1.0,1.0
66,mixed,64.0,0.0,0.0,128.0,64.0,128.0,-12288.0,spacelike,future,z,2.0,-45.75153904838305,-45.05310790706651,-45.05624684388321,-45.751539048383066,0.6984311413165603,0.6952922044998425,0.6665998669964296,0.665919835350122,0.0,0.0,1.0,1.0
67,mixed,-128.0,64.0,0.0,0.0,128.0,64.0,12288.0,timelike,past,x,0.5,-45.75153904838305,-45.5303724476985,-45.530137182513705,-45.751539048383066,0.22116660068455057,0.22140186586934296,0.5536336425085091,0.5537082054570789,0.28125,0.2890625,1.0,1.0
68,mixed,-128.0,0.0,64.0,0.0,128.0,64.0,12288.0,timelike,past,y,0.5,-45.75153904838305,-45.5311441029073,-45.52958283343186,-45.751539048383066,0.22039494547575322,0.22195621495117662,0.553377490674306,0.5538072865480778,0.3125,0.3125,1.0,1.0
69,mixed,-128.0,0.0,0.0,64.0,128.0,64.0,12288.0,timelike,past,z,0.5,-45.75153904838305,-45.53218370544747,-45.5317289523105,-45.751539048383066,0.21935534293556164,0.21981009607252855,0.5531929639356185,0.5533789087134808,0.296875,0.3046875,1.0,1.0
70,mixed,-128.0,128.0,0.0,0.0,128.0,128.0,0.0,null,past,x,1.0,-45.75153904838305,-45.0183327204769,-45.019554038535,-45.751539048383066,0.7332063279061285,0.731985009848063,0.6704131482958455,0.670038112750038,0.0234375,0.0234375,1.0,1.0
71,mixed,-128.0,0.0,128.0,0.0,128.0,128.0,0.0,null,past,y,1.0,-45.75153904838305,-45.0203498163991,-45.0190524643937,-45.751539048383066,0.7311892319839505,0.7324865839893311,0.6697051870823796,0.6700459779406305,0.03125,0.0390625,1.0,1.0
72,mixed,-128.0,0.0,0.0,128.0,128.0,128.0,0.0,null,past,z,1.0,-45.75153904838305,-45.02551164465282,-45.02610887379516,-45.751539048383066,0.7260274037302243,0.7254301745878976,0.6688648157235072,0.6689085868823803,0.03125,0.03125,1.0,1.0
73,mixed,-128.0,256.0,0.0,0.0,128.0,256.0,-49152.0,spacelike,past,x,2.0,-45.75153904838305,-43.47730932588766,-43.480718612038174,-45.751539048383066,2.274229722495379,2.2708204363448923,0.895576421495078,0.8951070295988716,0.0,0.0,1.0,1.0
74,mixed,-128.0,0.0,256.0,0.0,128.0,256.0,-49152.0,spacelike,past,y,2.0,-45.75153904838305,-43.486548725457645,-43.48581798843318,-45.751539048383066,2.2649903229254096,2.265721059949875,0.8940866614788846,0.8941386777397248,0.0,0.0,1.0,1.0
75,mixed,-128.0,0.0,0.0,256.0,128.0,256.0,-49152.0,spacelike,past,z,2.0,-45.75153904838305,-43.506562607925304,-43.507537619365436,-45.751539048383066,2.2449764404577643,2.2440014290176054,0.8925651886692725,0.8925205401789152,0.0,0.0,1.0,1.0
76,mixed,128.0,64.0,0.0,0.0,128.0,64.0,12288.0,timelike,future,x,0.5,-45.75153904838305,-45.5285564935086,-45.53195313670361,-45.751539048383066,0.22298255487444785,0.21958591167944558,0.5541055088564988,0.5532362712836192,0.2734375,0.2890625,1.0,1.0
77,mixed,128.0,0.0,64.0,0.0,128.0,64.0,12288.0,timelike,future,y,0.5,-45.75153904838305,-45.52932814871741,-45.531398787621775,-45.751539048383066,0.22221089966564966,0.22014026076128002,0.5538570187502926,0.5533270887150193,0.3125,0.3046875,1.0,1.0
78,mixed,128.0,0.0,0.0,64.0,128.0,64.0,12288.0,timelike,future,z,0.5,-45.75153904838305,-45.53036775125758,-45.53354490650042,-45.751539048383066,0.22117129712545924,0.2179941418826325,0.5536919221490362,0.5528795668222348,0.3046875,0.296875,1.0,1.0
79,mixed,128.0,128.0,0.0,0.0,128.0,128.0,0.0,null,future,x,1.0,-45.75153904838305,-45.01651676628702,-45.02136999272489,-45.751539048383066,0.7350222820960253,0.7301690556581661,0.6707667174164017,0.6696784471213704,0.0234375,0.0390625,1.0,1.0
80,mixed,128.0,0.0,128.0,0.0,128.0,128.0,0.0,null,future,y,1.0,-45.75153904838305,-45.01853386220921,-45.02086841858361,-45.751539048383066,0.7330051861738478,0.7306706297994345,0.6701131859457894,0.6696327324913705,0.0390625,0.03125,1.0,1.0
81,mixed,128.0,0.0,0.0,128.0,128.0,128.0,0.0,null,future,z,1.0,-45.75153904838305,-45.02369569046294,-45.02792482798505,-45.751539048383066,0.7278433579201214,0.723614220398,0.6693550109684259,0.6684189949165721,0.03125,0.03125,1.0,1.0
82,mixed,128.0,256.0,0.0,0.0,128.0,256.0,-49152.0,spacelike,future,x,2.0,-45.75153904838305,-43.475493371697794,-43.48253456622806,-45.751539048383066,2.2760456766852766,2.2690044821549944,0.895627560093445,0.8950444760093844,0.0,0.0,1.0,1.0
83,mixed,128.0,0.0,256.0,0.0,128.0,256.0,-49152.0,spacelike,future,y,2.0,-45.75153904838305,-43.48473277126774,-43.48763394262309,-45.751539048383066,2.2668062771153052,2.263905105759979,0.8941959712623341,0.8940251342526927,0.0,0.0,1.0,1.0
84,mixed,128.0,0.0,0.0,256.0,128.0,256.0,-49152.0,spacelike,future,z,2.0,-45.75153904838305,-43.50474665373537,-43.50935357355534,-45.751539048383066,2.2467923946476627,2.242185474827708,0.8927159437111633,0.892372718127672,0.0,0.0,1.0,1.0
85,mixed,-256.0,128.0,0.0,0.0,256.0,128.0,49152.0,timelike,past,x,0.5,-45.75153904838305,-44.86237208481723,-44.85820109352414,-45.75153904838306,0.8891669635658348,0.8933379548588929,0.6406340512368794,0.6418388002479835,0.3125,0.328125,1.0,1.0
86,mixed,-256.0,0.0,128.0,0.0,256.0,128.0,49152.0,timelike,past,y,0.5,-45.75153904838305,-44.8643891807394,-44.85769951938291,-45.751539048383066,0.887149867643657,0.8938395290001613,0.6378649895917013,0.6399468812904641,0.34375,0.3359375,1.0,1.0
